code	topic
1	Macroeconomics
2	Civil Rights, Minority Issues, Immigration and Civil Liberties
3	Health
4	Agriculture
5	Labour and Employment
6	Education and Culture
7	Environment
8	Energy
9	Immigration
10	Transportation
12	Law, Crime and Family Issues
13	Social Welfare
14	Community Development, Planning and Housing Issues
15	Banking, Finance and Domestic Commerce
16	Defence
17	Space, Science, Technology and Communications
18	Foreign Trade
19	International Affairs and Foreign Aid
20	Government Operations
21	Public Lands, Water Management, Colonial and Territorial Issues
99	Non-policy content