Affluence	rich-poor
Affluence	richer-poorer
Affluence	richest-poorest
Affluence	affluence-poverty
Affluence	affluent-destitute
Affluence	advantaged-needy
Affluence	wealthy-impoverished
Affluence	costly-economical
Affluence	exorbitant-impecunious
Affluence	expensive-inexpensive
Affluence	exquisite-ruined
Affluence	extravagant-necessitous
Affluence	flush-skint
Affluence	invaluable-cheap
Affluence	lavish-economical
Affluence	luxuriant-penurious
Affluence	luxurious-threadbare
Affluence	luxury-cheap
Affluence	moneyed-unmonied
Affluence	opulent-indigent
Affluence	plush-threadbare
Affluence	luxuriant-penurious
Affluence	precious-cheap
Affluence	priceless-worthless
Affluence	privileged-underprivileged
Affluence	propertied-bankrupt
Affluence	prosperous-unprosperous
Affluence	developed-underdeveloped
Affluence	solvency-insolvency
Affluence	successful-unsuccessful
Affluence	sumptuous-plain
Affluence	swanky-basic
Affluence	thriving-disadvantaged
Affluence	upscale-squalid
Affluence	valuable-valueless
Affluence	classy-beggarly
Affluence	ritzy-ramshackle
Affluence	opulence-indigence
Affluence	solvent-insolvent
Affluence	moneyed-moneyless
Affluence	rich-pennilessx
Affluence	affluence-penury
Affluence	posh-plain
Affluence	opulence-indigence
Gender	man-woman
Gender	men-women
Gender	he-she
Gender	him-her
Gender	his-her
Gender	his-hers
Gender	boy-girl
Gender	boys-girls
Gender	male-female
Gender	masculine-feminine
Race	black-white
Race	blacks-whites
Race	Black-White
Race	Blacks-Whites
Race	African-European
Race	African-Caucasian
Race	Afro-Anglo
Cultivation	cultivated-uncultivated
Cultivation	cultured-uncultured
Cultivation	civilized-uncivilized
Cultivation	courteous-discourteous
Cultivation	proper-improper
Cultivation	polite-rude
Cultivation	cordial-uncordial
Cultivation	formal-informal
Cultivation	courtly-uncourtly
Cultivation	urbane-boorish
Cultivation	polished-unpolished
Cultivation	refined-unrefined
Cultivation	civility-incivility
Cultivation	civil-uncivil
Cultivation	urbanity-boorishness
Cultivation	politesse-rudeness
Cultivation	edified-loutish
Cultivation	mannerly-unmannerly
Cultivation	polished-gruff
Cultivation	gracious-ungracious
Cultivation	obliging-unobliging
Cultivation	cultured-uncultured
Cultivation	genteel-ungenteel
Cultivation	mannered-unmannered
Cultivation	polite-blunt
Employment	employer-employee
Employment	employers-employees
Employment	owner-worker
Employment	owners-worker
Employment	industrialist-laborer
Employment	industrialists-laborers
Employment	proprietor-employee
Employment	proprietors-employees
Employment	capitalist-proletarian
Employment	capitalists-proletariat
Employment	manager-staff
Employment	managers-staff
Employment	director-employee
Employment	directors-employees
Employment	boss-worker
Employment	bosses-workers
Employment	foreman-laborer
Employment	foremen-laborers
Employment	supervisor-staff
Employment	superintendent-staff
Education	educated-uneducated
Education	learned-unlearned
Education	knowledgeable-ignorant
Education	trained-untrained
Education	taught-untaught
Education	literate-illiterate
Education	schooled-unschooled
Education	tutored-untutored
Education	lettered-unlettered
Status	prestigious-unprestigious
Status	honorable-dishonorable
Status	esteemed-lowly
Status	influential-uninfluential
Status	reputable-disreputable
Status	distinguished-commonplace
Status	eminent-mundane
Status	illustrious-hurnble
Status	renowned-prosaic
Status	acclaimed-modest
Status	dignitary-commoner
Status	venerable-unpretentious
Status	exalted-ordinary
Status	estimable-lowly
Status	prominent-common
Morality	good-evil
Morality	moral-immoral
Morality	good-bad
Morality	honest-dishonest
Morality	virtuous-sinful
Morality	virtue-vice
Morality	righteous-wicked
Morality	chaste-transgressive
Morality	principled-unprincipled
Morality	unquestionable-questionable
Morality	noble-nefarious
Morality	uncorrupt-corrupt
Morality	scrupulous-unscrupulous
Morality	altruistic-selfish
Morality	chivalrous-knavish
Morality	honest-crooked
Morality	commendable-reprehensible
Morality	pure-impure
Morality	dignified-undignified
Morality	holy-unholy
Morality	valiant-fiendish
Morality	upstanding-villainous
Morality	guiltless-guilty
Morality	decent-indecent
Morality	chaste-unsavory
Morality	righteous-odious
Morality	ethical-unethical